document_id,clean_text,sentiment
1,xbox game pas best game play 2025 xbox game pas wide range game offer player xboxgames xboxgamepass bestxboxgamepassgames gamingnews ai ainews analyticsinsight analyticsinsightmagazine,negative
2,ive started earning byte world first decentralized network internet speed verification set despeed validator today start earning byte kickstart journey depin extension web3 ai,positive
3,tweet china ai surveillance year ahead facial recognition amp social credit system ai quantum cyber warfare dominance u fear aidriven hacking amp espionage china digital control could reshape global power ai bigbrother,positive
4,foot foot feetworship foot like pretty sock toe socksjob sockjob lick beautiful pleasured fun massage sol pretty ai game footjob girl drawingart art lick sol summer nail lick,positive
5,twin friend goddessofthesea deepsea seaartai thesea aiart ai aicommunity aicontent ocean photostory ridingthewaves oceanview cave magic niceass seamonster seahorse,positive
6,grok 3 smarter faster powerfulwhether youre coding brainstorming exploring ai gamechanger thought let discus grok3 ai tech innovation machinelearning tech,positive
7,mind blown microsofts new muse ai actually predict controller input generate gameplay visuals future gaming preservation development got way interesting check ai gaming gamedev,positive
8,qing bao jie jin 227mu 22shi song debiyu25zhou nian iyawoying eta ai debiyudang chu kurabudedi dao nihuo dong shiteitaai zhi rarezaruri woratsupa dabo gayu ru spgesutoni shang bai shi meng yin modeng chang kamukamuevuribadei yahong bai li hua kokodeshikawen kenaihua gasok chu,neutral
9,lakeway adopts new policy using ai city business govtech ai,positive
10,ai agent thrive memory harnessing context transcend human limitation embrace power ai evolves redefine existence ai crypto,neutral
11,1030 ai predicted breakoutstocks nsebse 3 min nifty stock sensex eth sol btc trump doge tsla getoutmodi gobackmodi babar azam eastenders thursdayvibes statehood day kpil mishraa raamliilaa maidaan arunnaacl prdesh shaaliimaar baag,neutral
12,alfa secures ps500k preseed funding revolutionize recruitment ai intelligent agent aim automate admin task eliminate bias hiring led fuel venture investment value alfa ps475m innovation business ai investing,positive
13,evolution ai web3gaming,neutral
14,bo shi noshi dian yan yu moderu hayan xie niguan suruji jie xue xi desheng michu sarerumoderude wen zhang nosok kiwotui ce shi wen zhang quan ti wozuo richu suneng li woxue xi suru ai chatgpt tekunorozi jie shuo,neutral
15,hey realestate agent languishing lead arent lost cause revive ai sm technology expect richer conversation high engagement hot lead burning sale chart let power growth proptech ai,positive
16,tried grok3 impressed slow doesnt follow prompt well give weird result better graphic better ai need improvement ai tech xai grok grok3 elonmusk,positive
17,apple unveils iphone 16e budgetfriendly 599 version iphone 16 launching feb 28 feature apple first inhouse 5g modem amp support apple intelligence replacing se brings face id amp 48mp camera lower cost iphone16e apple ai iphone technews,positive
18,experience futuristic twist history pixelated texture neon color reimagined mercury friendship 7 mission featuring ai team alien companion todayinhistory spaceexploration scifi,negative
19,south korea secure 18000 gpus first half 2026 worldmarket southkorea artificialintelligence investmentguruindia,positive
20,cut cost enhance quality changing organization approach communication check infographic see ai optimize messaging efficiency,neutral
21,blond inviting aiirasuto aiart nsfw hairypussy as bigtits ai aiporn stablediffusion,neutral
22,yun yong nowen ti wo tidb dejie jue shimasenkawu ting zhi atsupudetodeye mogutsusuri pingcap newsql database detabesu database ai cloud,neutral
23,ai transforming gaming adaptive npc dynamic worldbuilding aidriven personalization making game immersive unpredictable ever gaming tech ainews,negative
24,exciting news elon musk xai launched grok3 powerful ai model 10x computing power predecessor stay tuned breakthrough ai ai elonmusk xai,positive
25,aiharen jian todong wu nohui hua woshou zhu kedekirudeshiyouka tian qi yasatsukanadonitsuitenoshuang fang xiang nohui hua toiuyi wei dehamadadesuga aihasudenidong wu noxing dong yaming kisheng wojie du surunoniyi li tsuteimasu xiang shikuha etsuziai semikondakuta ban dao ti ai,neutral
26,addressing decentralised ai solve problem web2 ai consensushk,neutral
27,berlin germany retro wall art digital download vintage travel poster city night scene urban cityscape printable decor fo aiart midjourney generativeart ai,neutral
28,future healthcare almost alyt presale starting feb 26 gempad part revolution decentralized healthcare powered ai amp blockchain get ready,positive
29,evolution robotic process automation expect 2025 beyond visit rpa roboticprocessautomation automation ai intelligentautomation digitaltransformation processautomation automationtechnology smartautomation futureofwork,negative
30,2025nian 5gji shu ha10gbpsnosu du to1msnochi yan dejin hua zhong aitozu mihe waseruto zhi neng cheng shi yazi dong yun zhuan nida kinaying xiang woyu eruyu ding wei xing tong xin mojin zhan shi 6gnoji chu wozhu ku 5g ai futuretech,neutral
31,fueling future web3 highquality data publicai excited see ai amp blockchain collide ai web3,positive
32,2479552835cf hentai porn ai anime rule34 succubus demon,neutral
33,aikai fa detoranpuda tong ling gaju tsuteirunohabu lao bu si aihuo yong shi dian jia na min yan ai ying jing xiu xun noshu zhai kizunachu ban,neutral
34,whats real cost healthcare inefficiency delayed treatment frustrated patient lost revenue microsoft cloud ai automation let build patientfirst healthcare system free 11 consultation today healthcareinnovation,negative
35,clorinde art haruya3d crave unfiltered nsfw chat try click hentai nsfw ai porn rule34 r18,neutral
36,emotion lose money bot doesnt emotion get free ea forex ai investing,positive
37,ai race tech giant pushing ai new limit ecommerce must adapt stay ahead many ai choice chative find right model aiforecommerce chative shopifyai ecommercegrowth ai,positive
38,future marketing next 5 year marketing leader prioritize ai dataethics realtime personalization ready shift marketingtrends,positive
39,aiart ai ai_art ai_generation art digital woman beautiful_girl sexy_girl lingerie nightie,neutral
40,ai supply chain face hidden risk thirdparty component like model library exploited attacker threat highlight need stronger security ai development vaibhav garg,negative
41,take profesional shes secretary furry yiff furryyart ai aiart nsfw isabelle animalcrossingnsfw,neutral
42,2025 indian army induct emerging tech specialist army knowledge amp enablers corp expert key ai integration ensuring military stay forefront tech innovation jui marathe amp,negative
43,whats real impact ai aunz business go beyond hype hear googlecloud expert customer amp iconic discover theyre unlocking new possibility ai mean business aidownunder,positive
44,meet new ui ai jared spataro discusses ai agent transforming business process executing task start finish built copilot studio work 247 ai,positive
45,struggling slow call transcription manual notetaking ready streamline operation discover ai transcriber transforming call center ai ccaas customerexperience,negative
46,featured desci ecosystem map bitdoctorai ai depin desci healthtech,neutral
47,china green stride inspiring imagine aipowered insight publicai could unlock global sustainability greentech ai,positive
48,beldex one bullish gem ready moon depin ai tech building massive momentum smart money already stackingdont miss,positive
49,ai could replace capitalism im building first aidriven financial system reward value prevents corruption scale globally early access limited join ai web3 fintech,positive
50,experiencingv2k need help reach help v2k helplshere loveisland biniatkconla2024 ai havanasyndrome radar neuroscience cybersecurity paris2024 loveisland lcdlfmx2 bin weareaccs cybersecurity paris2024 metaverse usa huearemyeverything,neutral
51,veil data destiny thins better 500k contributor refining ai path evolution begin indeed ai data,positive
52,whoa 50k hope youre checking publicai data fuel ai fire theyre ai datacenterrace,neutral
53,communication landscape evolving rapidly ai omnichannel strategy purposedriven storytelling forefront brand must leverage tech amp data craft authentic narrative build trust ai brandstrategy innovation futureready,positive
54,iphone16e apple sumatohuon ai xin modemu xin shiiiphone 16eha aiji neng gachong shi anatanosheng huo wosapotosurusumatohuondesu,neutral
55,experiencingv2k need help reach help v2k helplshere loveisland biniatkconla2024 ai havanasyndrome radar neuroscience cybersecurity paris2024 loveisland lcdlfmx2 bin weareaccs cybersecurity paris2024 metaverse usa huearemyeverything,neutral
56,government throwing bucket cash medical research ai company lining get fill 2024 alone u national institute health nih tossed 51 billion research much funneled aidriven project ai tech4all technews,positive
57,1 ai marketplace full ecosystem decentralized ai solution let explore key feature ai blockchain singularitynet,positive
58,blockchain give product identity ai agent make smarterverifying tracking securing transaction leading way ai web3 ecommerce,neutral
59,india regulate cryptocurrencies 2025 cryptoindia cryptocurrency bitcoin blockchain cryptoregulation indiacrypto ai ainews analyticsinsight analyticsinsightmagazine,neutral
60,exciting development web3 ai mozo get involved,positive
61,ai pushed overthinking generativeai ai artificialintelligence forbes techbrium chatgpt openai,neutral
62,friendship ai apart aiartcommunity,neutral
63,ai secret superpower spotting disease symptom even appear artificial intelligence ai transforming disease detection identifying health condition doctor may even looking healthcare 2025february19healthcare_a ai,negative
64,excited heading web summit qatar looking forward catching connecting partner shaping future ai innovationif youre doha want meet let chat websummitqatar ai innovation futureoftech,positive
65,check irender telegram mini app join future decentralized rendering irender ai web3 lewat,neutral
66,kotak india investor conference cofounder md amp ceo yotta highlighted ai role transforming sector amp positioning india global tech leader also highlighted yottas initiative key shaping india future global ai powerhouse,neutral
67,programme highlight insightful discussion negd pampceo nand kumarum dpi governance role bringing transparency curb corruption discussion ai transforming fraud detection mitigating risk digitalindia upi dpi,neutral
68,yappin good ai data publicais got 500k contributor makin sure topnotch garbage garbage ai data web3,positive
69,tender moment ai midjourney aiart,neutral
70,want generate income launching successful novel amazon kdp quick 24 hour using chatgpt find essential strategy launch popular book amazon kdp using chatgpt claim free report amazonkdp chatgpt kdp ai di,positive
71,experiencingv2k need help reach help v2k helplshere loveisland biniatkconla2024 ai havanasyndrome radar neuroscience cybersecurity paris2024 loveisland lcdlfmx2 bin weareaccs cybersecurity paris2024 metaverse usa huearemyeverything,neutral
72,watch give pause think ai whyfiles,neutral
73,meet ai data whisperer expert system automates creation highquality ai data reaching 10100x efficiency common data prep operation ai dataefficiency,negative
74,diving deeper bitdoctor technology work bitdoctorai ai depin desci healthtech,neutral
75,ftx25 february 20th 2025 lalit ashok bengaluru razorpay ftx25 speaker sustainme sustainmetotebags payment ai digital pay razorpay lalitashok budget2025 bengaluru paypay onlinepayment payment bangalore ad ftx25,neutral
76,experiencingv2k need help reach help v2k helplshere loveisland biniatkconla2024 ai havanasyndrome radar neuroscience cybersecurity paris2024 loveisland lcdlfmx2 bin weareaccs cybersecurity paris2024 metaverse usa huearemyeverything,neutral
77,aiart aiartist aiartwork ai aiartcommunity digitalartwork artshare artwork art design digital artistonx digitalart artcommunity grok graphicdesign news graphic picture pic image image,neutral
78,foot foot feetworship foot like pretty sock toe socksjob sockjob lick beautiful pleasured fun massage sol pretty ai game footjob girl drawingart art lick sol summer nail lick,positive
79,ftx25 february 20th 2025 lalit ashok bengaluru razorpay ftx25 speaker sustainme sustainmetotebags payment ai digital pay razorpay lalitashok budget2025 bengaluru paypay onlinepayment payment bangalore ad ftx25,neutral
80,cnbctv18exclusive bullish growth india ai help reduce cost amp improve efficiency md amp ceo bipin preet singh tell company ed amp cfo upasana taku also flag regulatory hurdle faced fintech companieswatch ytreloaded,neutral
81,ready whats coming next ai eth web3gaming,positive
82,ftx25 february 20th 2025 lalit ashok bengaluru razorpay ftx25 speaker sustainme sustainmetotebags payment ai digital pay razorpay lalitashok budget2025 bengaluru paypay onlinepayment payment bangalore ad ftx25,neutral
83,ai airplane aiviralreels businessadda aicatstory aiartcommunity catpolice,neutral
84,pasonarutorenahamoubu yao aidejian dan daietsuto daietsuto ai chatgpt,neutral
85,anyone know allow rule span beyond 1 sessionconversation example always translate japanese english ai grok3,neutral
86,octopusinspired spirobs robotic arm via robotics machinelearning artificialintelligence ml innovation cc,negative
87,iot face security risk scalability issue data management challenge solution include robust encryption aidriven analytics edge computing efficiency innovation key overcoming hurdle iot technology cybersecurity ai,neutral
88,hi interested tracking competitor ad check competitor ad alert tool raxoai ai ad,positive
89,last chance price go 28 feb lock 50 gitex asia global tech amp startup event asia bold partnership groundbreaking idea amp futuredefining technology collide gitexasia ai blockchain,positive
90,hl tyd tryft trmb tshkyl ltknwlwjy llmy blfl bd stthmr foxconn bqym 33 mlywn dwlr fy hywstn tkhtt shrkt tsny lkhwdm ai lryd fy tywn ltwsy texas qbl mrwr 100 ywm l twly trmb lslt,neutral
91,ai could replace capitalism im building first aidriven financial system reward value prevents corruption scale globally early access limited join ai web3 fintech,positive
92,ai quiz time language commonly used ai lisp b prolog c python perl comment answer infocom 9985222841 04040174611 ai techquiz programming bsit bsitsoftware python quiz,negative
93,thalia swiftsong stone character shortstory art short aiart ai,neutral
94,transparency key publicai love seeing soso highquality data fuel powerful ai publicai help build datatransparency ai,positive
95,unlocking potential ai relies robust training model quality data algorithm directly influence performance accuracy let pave way smarter efficient ai system ai machinelearning,positive
96,1027 ai predicted breakoutstocks nsebse 3 min nifty stock sensex eth sol btc trump doge tsla getoutmodi gobackmodi eastenders mbappe babar azam raamliilaa maidaan statehood day kpil mishraa nmo naaraaynn glenn phillips shaaliimaar baag,neutral
97,another good reason fight cartel bring investor mexico maybe another good tech hub technology ai,positive
98,idle power reward raised 8m airdrop confirmed tge coming soon nodego earncrypto ai via,positive
99,blockchain give product identity ai agent make smarterverifying tracking securing transaction leading way ai web3 ecommerce,neutral
100,hi interested tracking competitor ad check competitor ad alert tool raxoai ai ad,positive
